ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision,Sensation,Pain,ActualValue
15,24,Male,NoFeedback,Part 2,6,6.4,78.4,1.5,0,3.6122621,7.9986201,2.9998536,0.00719451,0.005294747,0.007366903,0.59710693,1,1,0,7.9750427,7.87E-04,1.9,3,2.6
15,24,Male,Visual,Part 2,7,6.3,90.3,1.5,0,3.5966797,8.0763793,3.0427004,0.005415587,0.004204423,0.009492251,0.58100587,1,1,0,8.0528198,6.21E-04,1.9,3,2.6
16,31,Male,Both,Part 1,0,6.5,6.5,1.5,0,4.5211119,20.519639,12.5373472,0.009011802,0.007384758,0.011227278,1.50666202,1,1,0,20.495654,6.27E-04,1.6,3.1,2.5
16,31,Male,Electrotactile,Part 1,1,6.3,18.3,1.5,0,4.0544373,12.921985,6.2845763,0.011596411,0.009782825,0.006907686,1.03884885,1,1,0,12.8983956,8.89E-04,1.6,3.1,2.5
16,31,Male,NoFeedback,Part 1,3,6.5,42.5,1.5,0,3.852234,10.6752136,5.2690189,0.016805264,0.01141178,0.008672043,0.83723759,1,1,0,10.6513482,0.002485442,1.6,3.1,2.5
16,31,Male,Visual,Part 1,2,6.5,30.5,1.5,0.1,3.6322387,10.4630673,5.1345032,0.009755408,0.008659198,0.009635112,0.61713867,1,1,0,10.4393194,5.28E-04,1.6,3.1,2.5
16,31,Male,Both,Part 2,4,6.4,54.4,1.5,0,3.6355591,8.9003905,3.6822389,0.009939166,0.008641443,0.010307084,0.61968994,1,1,0,8.8767458,6.91E-04,1.5,2.9,2.3
16,31,Male,Electrotactile,Part 2,5,6.5,66.5,1.5,0,3.4755616,8.9804075,4.0617188,0.00817833,0.00690314,0.010462446,0.45942383,1,1,0,8.9568604,5.65E-04,1.5,2.9,2.3
16,31,Male,NoFeedback,Part 2,7,6.4,90.4,1.5,0.1,3.36112066,9.4301881,4.0157959,0.014547472,0.011627581,0.008039892,0.34775391,1,1,0,9.4066169,0.001196993,1.5,2.9,2.3
16,31,Male,Visual,Part 2,6,6.3,78.3,1.5,0.2,3.3511232,8.8605107,3.46445315,0.010037293,0.007978466,0.008177214,0.49184569,1,1,0,8.8368526,0.001222367,1.5,2.9,2.3
18,31,Male,Both,Part 1,2,6.5,30.5,1.5,0,3.4888916,7.6421204,2.7070067,0.006655226,0.004298784,0.007988899,0.47401122,1,1,0,7.6164978,7.61E-04,1.3,2.5,2
18,31,Male,Electrotactile,Part 1,3,6.5,42.5,1.5,0,3.4988892,7.3101319,2.3620972,0.006713978,0.0047621,0.006907847,0.48461306,1,1,0,7.2864076,7.37E-04,1.3,2.5,2
18,31,Male,NoFeedback,Part 1,1,6.2,18.2,1.5,0,3.4955596,7.3632629,2.4349365,0.008742152,0.006139479,0.005779169,0.4802185,1,1,0,7.3390809,0.001075693,1.3,2.5,2
18,31,Male,Visual,Part 1,0,6.5,6.5,1.5,0,3.5077791,7.8353515,2.8316773,0.006327341,0.004558717,0.007079006,0.49224243,1,1,0,7.8112545,6.95E-04,1.3,2.5,2
