ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision,Sensation,Pain,ActualValue
21,24,Female,Electrotactile,Part 1,2,6.3,30.3,1.5,0,3.6344483,9.1672244,3.6223267,-3.975196325543515,-4.14932329212351,0.007985479,0.61960448,1,1,0,9.1428045,-6.221089557773009,-0.2231435513142097,0.4054651081081644,0.1823215567939546
21,24,Female,Both,Part 2,7,6.4,90.4,1.5,0.2,3.35333256,8.4372802,3.0657836,-4.377563967203534,-4.786842433628867,0.009041959,0.47517088,1,1,0,8.4131713,-6.2502508202276035,0.09531017980432493,0.4054651081081644,0.26236426446749106
21,24,Female,Electrotactile,Part 2,6,6.4,78.4,1.5,0,4.0044434,7.9009519,2.4903809,-3.817446412814938,-4.213303248685151,0.008871251,0.98959961,1,1,0,7.8768309,-5.584780448936853,0.09531017980432493,0.4054651081081644,0.26236426446749106
22,25,Male,Both,Part 1,2,6.4,30.4,1.5,0,3.7755615,10.2464539,4.8716003,-4.599727325265007,-4.831802817068122,0.006934334,0.76121826,1,1,0,10.2223513,-7.129649610895915,-0.5108256237659907,0.47000362924573563,0.1823215567939546
22,25,Male,Electrotactile,Part 1,3,6.5,42.5,1.5,0,3.6900025,10.366448,5.074054,-4.445242170009898,-4.612269728203334,0.006366083,0.67490846,1,1,0,10.342547,-7.283176265741925,-0.5108256237659907,0.47000362924573563,0.1823215567939546
22,25,Male,Both,Part 2,6,6.1,78.1,1.5,0,3.7155397,10.2409311,4.926245,-4.9210267925561135,-5.177053994295253,0.008810968,0.70015873,1,1,0,10.2172245,-7.350922254274313,-0.10536051565782628,0.6931471805599453,0.47000362924573563
22,25,Male,Electrotactile,Part 2,7,6.4,90.4,1.5,0,3.6622071,10.7040276,5.3995973,-4.924463744663086,-5.266337807383873,0.009047058,0.6461914,1,1,0,10.680152,-7.042430182308738,-0.10536051565782628,0.6931471805599453,0.47000362924573563
23,26,Female,Both,Part 1,1,6.5,18.5,1.5,0,3.5655548,7.643106,2.628888,-4.513471702331527,-4.8047211197285815,0.005245014,0.55014953,1,1,0,7.6187195,-6.858808936532977,0.26236426446749106,0.6418538861723947,0.47000362924573563
23,26,Female,Electrotactile,Part 1,0,6.5,6.5,1.5,0,3.5377777,8.5461879,3.5417694,-4.175777701097236,-4.501475797549686,0.005311776,0.52266846,1,1,0,8.5217625,-6.234985821053998,0.26236426446749106,0.6418538861723947,0.47000362924573563
23,26,Female,Both,Part 2,5,6.4,66.4,1.5,0,3.6089049,7.7821349,2.7271668,-5.04758183913124,-5.371400448696375,0.009200174,0.59550169,1,1,0,7.7582093,-7.405335675998107,0.47000362924573563,1.1314021114911006,0.9162907318741551
23,26,Female,Electrotactile,Part 2,4,6.3,54.3,1.5,0,3.5622254,7.8663147,2.8081116,-4.8546532208655435,-5.0402747345889765,0.00778105,0.54642945,1,1,0,7.842639,-7.52951246345541,0.47000362924573563,1.1314021114911006,0.9162907318741551
24,24,Male,Both,Part 1,0,6.5,6.5,1.5,0,3.805545,7.0166841,1.8627594,-4.816361204273529,-5.1578447202610045,0.006540776,0.79008786,1,1,0,6.9878968,-7.088078833113419,0.7419373447293773,1.3609765531356006,1.1631508098056809
24,24,Male,Electrotactile,Part 1,1,6.4,18.4,1.5,0,3.7477906,7.1768005,2.0091859,-4.471356420734472,-4.847019096817018,0.004897451,0.73269044,1,1,0,7.1494996,-6.60211860931977,0.7419373447293773,1.3609765531356006,1.1631508098056809
24,24,Male,Both,Part 2,4,6.4,54.4,1.5,0,3.8766724,8.1197574,2.8517762,-4.844107555621252,-5.258315996648079,0.006892162,0.85958253,1,1,0,8.0952635,-7.127155844017512,0.9555114450274363,1.791759469228055,1.5260563034950492
24,24,Male,Electrotactile,Part 2,5,6.5,66.5,1.5,0,3.7611327,7.4489258,2.312915,-4.638073511918983,-4.981559472548781,0.006189361,0.74609375,1,1,0,7.4222047,-6.742393394513216,0.9555114450274363,1.791759469228055,1.5260563034950492
